species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
3a69be49-b379-4c3b-bc9b-7d2e52280c44,Melinaea,butterflies,,,,,,NULL,genus,NULL,Melinaea,2024-01-24 17:18:54.447684+00
545810e4-b3f3-4626-9cbf-8b04f9cda35e,Eantis,butterflies,,,,,,NULL,genus,NULL,Eantis,2024-01-24 17:18:54.447684+00
7329631a-6dc6-4062-957f-ce2c5eca8760,Artines trogon,butterflies,Artines trogon,NULL,,NULL,,,species,NULL,Artines,2024-01-31 16:46:01.310562+00
311ec9b8-9232-49a8-bb0d-57a682a856a7,Thisbe,butterflies,,,,,,NULL,genus,NULL,Thisbe,2024-01-24 17:18:54.447684+00
23259874-1cd0-419d-b894-cb08541dae0c,Panthiades,butterflies,,,,,,NULL,genus,NULL,Panthiades,2024-01-24 17:18:54.447684+00
6b983a2f-7d57-4aca-9207-63455491f871,Urbanus proteus,butterflies,Urbanus proteus,https://lh3.ggpht.com/PJEkzB2jmdQ56p3oo68jqybSaXl2E3T77JEIlU1jd6W7pVXo5-yRY_L0StN70ZkCLEbNOCOHzz4qTead5FUqaQ,Long-Tailed Skipper,NULL,Hesperiidae,Skippers,species,2,Urbanus,2024-01-24 17:18:54.447684+00
6ba4f29d-7124-472e-b5fb-0781fd8da719,Nessaea,butterflies,,,,,,NULL,genus,NULL,Nessaea,2024-01-24 17:18:54.447684+00
607e9ef2-512d-4e35-9606-0f6c2e9d21a1,Heliconius burneyi,butterflies,Heliconius burneyi,NULL,NULL,NULL,,NULL,species,NULL,Heliconius,2024-01-24 17:18:54.447684+00
b60de126-fa8f-4bfd-acba-3a11846746a7,Historis odius,butterflies,Historis odius,NULL,NULL,NULL,,NULL,species,NULL,Historis,2024-01-24 17:18:54.447684+00
bf147a12-8817-4a18-97bc-c2cb916dd668,Bia actorion,butterflies,Bia actorion,NULL,NULL,NULL,,NULL,species,NULL,Bia,2024-01-24 17:18:54.447684+00
c6366b3c-b5b1-416e-b0a8-08194952dad0,Coea,butterflies,,NULL,,NULL,,,genus,NULL,Coea,2024-01-31 16:46:01.310562+00
309dbc3d-8b29-47ab-9d09-2d5fcbe80085,Ectima thecla,butterflies,Ectima thecla,NULL,NULL,NULL,,NULL,species,NULL,Ectima,2024-01-24 17:18:54.447684+00
d16e4eb6-d14d-447d-9e43-e44ad2a83e0c,Macrosoma,butterflies,,,,,,NULL,genus,NULL,Macrosoma,2024-01-24 17:18:54.447684+00
7399179f-b4d1-4da8-8b80-b3b0e02380c8,Hamadryas arinome,butterflies,Hamadryas arinome,NULL,NULL,NULL,,NULL,species,NULL,Hamadryas,2024-01-24 17:18:54.447684+00
ca8ea7c1-6748-4650-a310-7bf2a9f1d56b,Archaeoprepona,butterflies,,,,,,NULL,genus,NULL,Archaeoprepona,2024-01-24 17:18:54.447684+00
af50283d-8507-4ca6-a39b-dcacbf0cc17b,Pareuptychia hesione,butterflies,Pareuptychia hesione,NULL,,NULL,,,species,NULL,Pareuptychia,2024-01-31 16:46:01.310562+00
4678e783-48d0-4f80-a7c0-2a267eabf7fa,Pyrrhogyra crameri,butterflies,Pyrrhogyra crameri,NULL,NULL,NULL,,NULL,species,NULL,Pyrrhogyra,2024-01-24 17:18:54.447684+00
506bf97c-a7d2-4c9c-b7dd-c9b81a47d4a0,Dryas,butterflies,,,,,,NULL,genus,NULL,Dryas,2024-01-24 17:18:54.447684+00
42c7f911-8ffc-406a-92b3-c1c486471048,Dryas iulia,butterflies,Dryas iulia,NULL,NULL,NULL,,NULL,species,NULL,Dryas,2024-01-24 17:18:54.447684+00
5e14b473-5645-4f89-b671-f512c6f3e7c9,Leptotes cassius,butterflies,Leptotes cassius,NULL,NULL,NULL,,NULL,species,NULL,Leptotes,2024-01-24 17:18:54.447684+00
68b9472d-01c6-4c89-8e53-5709b79787ef,Adelpha,butterflies,,,,,,NULL,genus,NULL,Adelpha,2024-01-24 17:18:54.447684+00
dcbf7572-3ad6-4ff1-a3f1-a73e548841c7,Morpho helenor,butterflies,Morpho helenor,NULL,NULL,NULL,,NULL,species,NULL,Morpho,2024-01-24 17:18:54.447684+00
dca492a2-fa00-44d4-a675-42d375672504,Antirrhea,butterflies,,,,,,NULL,genus,NULL,Antirrhea,2024-01-24 17:18:54.447684+00
f4c9fb25-f686-42c0-b1b6-b62c27d1a7de,Euptychia,butterflies,,,,,,NULL,genus,NULL,Euptychia,2024-01-24 17:18:54.447684+00
336c1c28-9dd8-4a0f-84fe-b44a7574420b,Eunica volumna,butterflies,Eunica volumna,NULL,NULL,NULL,,NULL,species,NULL,Eunica,2024-01-24 17:18:54.447684+00
8613b7e4-2ca5-4c0e-b86d-2f269c81dad7,Amarynthis,butterflies,,,,,,NULL,genus,NULL,Amarynthis,2024-01-24 17:18:54.447684+00
714bde01-ad0c-48b1-a434-0c28d1ad94a5,Battus,butterflies,,,,,Papilionidae,Swallowtail Butterflies,genus,4,Battus,2024-01-24 17:18:54.447684+00
9ca8ddfb-b259-4d80-a85b-bc3d6981ae28,Dryadula,butterflies,,,,,,NULL,genus,NULL,Dryadula,2024-01-24 17:18:54.447684+00
9f46a310-8774-4bc2-8272-aea0738d4e4a,Cariomothis,butterflies,,,,,,NULL,genus,NULL,Cariomothis,2024-01-24 17:18:54.447684+00
4c0c9015-68f2-4b5c-92f3-fe33c56807e0,Batesia,butterflies,,,,,,NULL,genus,NULL,Batesia,2024-01-24 17:18:54.447684+00
ab3839da-b1c2-40a2-a8b1-307ae69fe94a,Haetera,butterflies,,,,,,NULL,genus,NULL,Haetera,2024-01-24 17:18:54.447684+00
65958078-3d42-4ab1-852a-7f82724b5bd3,Adelpha thesprotia,butterflies,Adelpha thesprotia,NULL,NULL,NULL,,NULL,species,NULL,Adelpha,2024-01-24 17:18:54.447684+00
d1fdc938-ae7b-4883-a234-9dadf6716e77,Asterope,butterflies,,,,,,NULL,genus,NULL,Asterope,2024-01-24 17:18:54.447684+00
7c509308-6f24-4d97-98d9-cd91f26d95a9,Dione juno,butterflies,Dione juno,NULL,NULL,NULL,,NULL,species,NULL,Dione,2024-01-24 17:18:54.447684+00
c23842e9-97d4-4ff7-a89e-80335a4a3a96,Stalachtis,butterflies,,,,,,NULL,genus,NULL,Stalachtis,2024-01-24 17:18:54.447684+00
f0ffdec0-14c5-4f43-94d6-2bac551be7c1,Morpho cisseis,butterflies,Morpho cisseis,NULL,NULL,NULL,,NULL,species,NULL,Morpho,2024-01-24 17:18:54.447684+00
07c57f05-5af3-4ea2-8251-8d6106c1b95d,Bia,butterflies,,,,,,NULL,genus,NULL,Bia,2024-01-24 17:18:54.447684+00
f0bcfecb-0653-4aed-a96d-25c82b454ae4,Eueides isabella,butterflies,Eueides isabella,NULL,NULL,NULL,,NULL,species,NULL,Eueides,2024-01-24 17:18:54.447684+00
385aa61c-b7a0-4bfc-81b2-67cc00cba00f,Caligo eurilochus,butterflies,Caligo eurilochus,NULL,NULL,NULL,,NULL,species,NULL,Caligo,2024-01-24 17:18:54.447684+00
