species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
f7532a98-9cb0-49a8-a623-8ae7456827ab,Holochilus sciureus,mammals,Holochilus sciureus,NULL,Marsh Rat,NULL,,,species,NULL,Holochilus,2024-01-31 16:46:00.692574+00
ebe0ed4f-4b31-4922-82d4-6711fb0ac8f5,Platyrrhinus fusciventris,mammals,Platyrrhinus fusciventris,NULL,,NULL,,,species,NULL,Platyrrhinus,2024-01-31 16:46:00.692574+00
41c88301-c340-4ac9-bf9c-0f03a9f283c1,Bradypus,mammals,,,,,,NULL,genus,NULL,Bradypus,2024-01-24 17:18:54.447684+00
2f544272-2ded-49ba-8cda-2631b2588ef1,Hsunycteris,mammals,,NULL,,NULL,,,genus,NULL,Hsunycteris,2024-01-31 16:46:00.692574+00
1c714631-fb68-4823-9bf8-38d8fbd5dcd3,Cabassous,mammals,,NULL,,NULL,,,genus,NULL,Cabassous,2024-01-31 16:46:00.692574+00
d570d1a2-f34d-4b99-baf4-0dc50e5c553b,Cynomops paranus,mammals,Cynomops paranus,NULL,Brown Dog-Faced Bat,NULL,,,species,NULL,Cynomops,2024-01-31 16:46:00.692574+00
86d3a43e-58cb-4620-8b2a-9b6f7dd61aeb,Procyonidae,mammals,,,,,Procyonidae,NULL,family,635,,2024-01-24 17:18:54.447684+00
fde7254d-4ba6-43da-a7e6-c8312daf1602,Nyctinomops macrotis,mammals,Nyctinomops macrotis,NULL,Big Free-Tailed Bat,NULL,,,species,NULL,Nyctinomops,2024-01-31 16:46:00.692574+00
52dd6678-2981-4d92-9a2e-a8fa48910c15,Saccopteryx,mammals,,,,,,NULL,genus,NULL,Saccopteryx,2024-01-24 17:18:54.447684+00
c60e4ece-781d-46db-a981-53221306e84a,Mustelidae,mammals,,,,,Mustelidae,Mustelids,family,625,,2024-01-24 17:18:54.447684+00
26f100b8-f368-4f07-9963-44a64926bab4,Nyctinomops,mammals,,NULL,,NULL,,,genus,NULL,Nyctinomops,2024-01-31 16:46:00.692574+00
03cd25f9-e720-4af3-abcd-1705587e0ed6,Bradypus variegatus,mammals,Bradypus variegatus,NULL,Bolivian Three-Toed Sloth,NULL,,,species,NULL,Bradypus,2024-01-31 16:46:00.692574+00
61bd42cd-7040-41d4-b493-afce00627485,Saguinus fuscicollis,mammals,Saguinus fuscicollis,NULL,NULL,NULL,,NULL,species,NULL,Saguinus,2024-01-24 17:18:54.447684+00
1936621c-ad4b-401b-98ac-2a14174b72e7,Eptesicus chiriquinus,mammals,Eptesicus chiriquinus,NULL,Chiriquinan Serotine,NULL,,,species,NULL,Eptesicus,2024-01-31 16:46:00.692574+00
6720ed5f-0515-4cf0-9663-59703e821792,Marmosa murina,mammals,Marmosa murina,NULL,NULL,NULL,,NULL,species,NULL,Marmosa,2024-01-24 17:18:54.447684+00
ac643922-f8a3-4fa0-9415-d78877942df8,Pithecia chrysocephala,mammals,Pithecia chrysocephala,NULL,NULL,NULL,,NULL,species,NULL,Pithecia,2024-01-24 17:18:54.447684+00
2fc9efde-2f34-45f2-a93f-d29198affcc1,Glironia venusta,mammals,Glironia venusta,NULL,Bushy-Tailed Opossum,NULL,,,species,NULL,Glironia,2024-01-31 16:46:00.692574+00
f5c20c4f-2dde-4b62-9824-133baaf20cf7,Bradypus tridactylus,mammals,Bradypus tridactylus,NULL,NULL,NULL,,NULL,species,NULL,Bradypus,2024-01-24 17:18:54.447684+00
a0e66b52-4956-4998-a7cd-623a890d6a8b,Molossus molossus,mammals,Molossus molossus,NULL,NULL,NULL,,NULL,species,NULL,Molossus,2024-01-24 17:18:54.447684+00
3f6d13e5-d7b7-4bd7-91f1-c03fe6a27e73,Cynomops planirostris,mammals,Cynomops planirostris,NULL,NULL,NULL,,NULL,species,NULL,Cynomops,2024-01-24 17:18:54.447684+00
98fc7f13-48b2-4d45-84b8-82ba86a36b5e,Pteronotus parnellii,mammals,Pteronotus parnellii,NULL,Common Mustached Bat,NULL,,,species,NULL,Pteronotus,2024-01-31 16:46:00.692574+00
f5eea7cb-cdbf-4b3a-819a-091f760e0f2f,Odocoileus,mammals,,,,,Cervidae,NULL,genus,690,Odocoileus,2024-01-24 17:18:54.447684+00
70bec591-4d30-4e6a-83c7-e83ab022ad37,Eira barbara,mammals,Eira barbara,NULL,Greyheaded Tayra,NULL,,,species,NULL,Eira,2024-01-31 16:46:00.692574+00
d5df2184-3b73-44a3-b3d6-5693c463b1ef,Rhinophylla fischerae,mammals,Rhinophylla fischerae,NULL,Fischer's Little Fruit Bat,NULL,,,species,NULL,Rhinophylla,2024-01-31 16:46:00.692574+00
5bef085e-e2f0-4bc0-add7-2c7dec475fb1,Eumops auripendulus,mammals,Eumops auripendulus,NULL,NULL,NULL,,NULL,species,NULL,Eumops,2024-01-24 17:18:54.447684+00
5637d5c6-f1f3-4a34-ae05-6f446dd288bb,Rhynchonycteris,mammals,,,,,,NULL,genus,NULL,Rhynchonycteris,2024-01-24 17:18:54.447684+00
