name,taxa,scientificname,genus,family,taxonomic_level
Endlicheria arenosa,plants,Endlicheria arenosa,Endlicheria,Lauraceae,species
Odontadenia verrucosa,plants,Odontadenia verrucosa,Odontadenia,Apocynaceae,species
Mollia speciosa,plants,Mollia speciosa,Mollia,Malvaceae,species
Genipa spruceana,plants,Genipa spruceana,Genipa,Rubiaceae,species
Pilotrichum,plants,,Pilotrichum,Pilotrichaceae,genus
Perama hirsuta,plants,Perama hirsuta,Perama,Rubiaceae,species
Zoopsidella,plants,,Zoopsidella,Lepidoziaceae,genus
Virola divergens,plants,Virola divergens,Virola,Myristicaceae,species
Sloanea,plants,,Sloanea,Elaeocarpaceae,genus
Saccolomataceae,plants,,,Saccolomataceae,family
Licania pallida,plants,Licania pallida,Licania,Chrysobalanaceae,species
Dictyostega orobanchoides,plants,Dictyostega orobanchoides,Dictyostega,Burmanniaceae,species
Couratari stellata,plants,Couratari stellata,Couratari,Lecythidaceae,species
Helmontia leptantha,plants,Helmontia leptantha,Helmontia,Cucurbitaceae,species
Paraia,plants,,Paraia,Lauraceae,genus
Ormosia costulata,plants,Ormosia costulata,Ormosia,Fabaceae,species
Tanaecium pyramidatum,plants,Tanaecium pyramidatum,Tanaecium,Bignoniaceae,species
Siparuna ficoides,plants,Siparuna ficoides,Siparuna,Siparunaceae,species
Rhodothyrsus macrophyllus,plants,Rhodothyrsus macrophyllus,Rhodothyrsus,Euphorbiaceae,species
Ludwigia helminthorrhiza,plants,Ludwigia helminthorrhiza,Ludwigia,Onagraceae,species
Montrichardia linifera,plants,Montrichardia linifera,Montrichardia,Araceae,species
Protium polybotryum,plants,Protium polybotryum,Protium,Burseraceae,species
Drepanolejeunea polyrhiza,plants,Drepanolejeunea polyrhiza,Drepanolejeunea,Lejeuneaceae,species
Cecropia,plants,,Cecropia,Urticaceae,genus
Siphanthera,plants,,Siphanthera,Melastomataceae,genus
Henriettea stellaris,plants,Henriettea stellaris,Henriettea,Melastomataceae,species
Graffenrieda weddellii,plants,Graffenrieda weddellii,Graffenrieda,Melastomataceae,species
Frullaniaceae,plants,,,Frullaniaceae,family
Pradosia schomburgkiana,plants,Pradosia schomburgkiana,Pradosia,Sapotaceae,species
Meliosma,plants,,Meliosma,Sabiaceae,genus
Doliocarpus spraguei,plants,Doliocarpus spraguei,Doliocarpus,Dilleniaceae,species
Sparattosperma,plants,,Sparattosperma,Bignoniaceae,genus
Pradosia,plants,,Pradosia,Sapotaceae,genus
Petrea bracteata,plants,Petrea bracteata,Petrea,Verbenaceae,species
Trichosteleum papillosissimum,plants,Trichosteleum papillosissimum,Trichosteleum,Sematophyllaceae,species
Erythroxylum citrifolium,plants,Erythroxylum citrifolium,Erythroxylum,Erythroxylaceae,species
Jacaranda obtusifolia,plants,Jacaranda obtusifolia,Jacaranda,Bignoniaceae,species
Ptychopetalum olacoides,plants,Ptychopetalum olacoides,Ptychopetalum,Olacaceae,species
Orthopappus angustifolius,plants,Orthopappus angustifolius,Orthopappus,Asteraceae,species
Xylopia emarginata,plants,Xylopia emarginata,Xylopia,Annonaceae,species
Secondatia duckei,plants,Secondatia duckei,Secondatia,Apocynaceae,species
Erisma calcaratum,plants,Erisma calcaratum,Erisma,Vochysiaceae,species
Myrcia umbraticola,plants,Myrcia umbraticola,Myrcia,Myrtaceae,species
Fissidens ornatus,plants,Fissidens ornatus,Fissidens,Fissidentaceae,species
Mollinedia,plants,,Mollinedia,Monimiaceae,genus
Chameleion cryptocarpus,plants,Chameleion cryptocarpus,Chameleion,Calymperaceae,species
Pradosia decipiens,plants,Pradosia decipiens,Pradosia,Sapotaceae,species
Tabernaemontana macrocalyx,plants,Tabernaemontana macrocalyx,Tabernaemontana,Apocynaceae,species
Centropogon,plants,,Centropogon,Campanulaceae,genus
Rapatea,plants,,Rapatea,Rapateaceae,genus
Ditassa,plants,,Ditassa,Apocynaceae,genus
Macairea,plants,,Macairea,Melastomataceae,genus
Homalolepis cedron,plants,Homalolepis cedron,Homalolepis,Simaroubaceae,species
Cyperus ligularis,plants,Cyperus ligularis,Cyperus,Cyperaceae,species
Geophila cordifolia,plants,Geophila cordifolia,Geophila,Rubiaceae,species
Jacaratia digitata,plants,Jacaratia digitata,Jacaratia,Caricaceae,species
Sauvagesia sprengelii,plants,Sauvagesia sprengelii,Sauvagesia,Ochnaceae,species
Inga pilosula,plants,Inga pilosula,Inga,Fabaceae,species
Lepidopilum,plants,,Lepidopilum,Pilotrichaceae,genus
Achariaceae,plants,,,Achariaceae,family
Schistostemon oblongifolium,plants,Schistostemon oblongifolium,Schistostemon,Humiriaceae,species
Trigynaea,plants,,Trigynaea,Annonaceae,genus
Clavija,plants,,Clavija,Primulaceae,genus
Licaria cannella,plants,Licaria cannella,Licaria,Lauraceae,species
Clusia,plants,,Clusia,Clusiaceae,genus
Digitaria insularis,plants,Digitaria insularis,Digitaria,Poaceae,species
Potalia,plants,,Potalia,Gentianaceae,genus
Clusia flavida,plants,Clusia flavida,Clusia,Clusiaceae,species
Rinorea riana,plants,Rinorea riana,Rinorea,Violaceae,species
Syzygium,plants,,Syzygium,Myrtaceae,genus
Psychotria,plants,,Psychotria,Rubiaceae,genus
Blepharodon,plants,,Blepharodon,Apocynaceae,genus
Odontosoria schlechtendalii,plants,Odontosoria schlechtendalii,Odontosoria,Lindsaeaceae,species
Iryanthera lancifolia,plants,Iryanthera lancifolia,Iryanthera,Myristicaceae,species
Solanum crinitum,plants,Solanum crinitum,Solanum,Solanaceae,species
Asplenium juglandifolium,plants,Asplenium juglandifolium,Asplenium,Aspleniaceae,species
Aganisia cyanea,plants,Aganisia cyanea,Aganisia,Orchidaceae,species
Bulbostylis junciformis,plants,Bulbostylis junciformis,Bulbostylis,Cyperaceae,species
Anacardium,plants,,Anacardium,Anacardiaceae,genus
Cipura paludosa,plants,Cipura paludosa,Cipura,Iridaceae,species
Asplenium,plants,,Asplenium,Aspleniaceae,genus
Ischnosiphon lasiocoleus,plants,Ischnosiphon lasiocoleus,Ischnosiphon,Marantaceae,species
Tontelea passiflora,plants,Tontelea passiflora,Tontelea,Celastraceae,species
Calophyllaceae,plants,,,Calophyllaceae,family
Chamissoa,plants,,Chamissoa,Amaranthaceae,genus
Securidaca longifolia,plants,Securidaca longifolia,Securidaca,Polygalaceae,species
Parahancornia,plants,,Parahancornia,Apocynaceae,genus
Tabernaemontana muricata,plants,Tabernaemontana muricata,Tabernaemontana,Apocynaceae,species
Inga obtusata,plants,Inga obtusata,Inga,Fabaceae,species
Citharexylum poeppigii,plants,Citharexylum poeppigii,Citharexylum,Verbenaceae,species
Passovia,plants,,Passovia,Loranthaceae,genus
Chrysophyllum,plants,,Chrysophyllum,Sapotaceae,genus
Protium subserratum,plants,Protium subserratum,Protium,Burseraceae,species
Entodontopsis,plants,,Entodontopsis,Stereophyllaceae,genus
Xyris,plants,,Xyris,Xyridaceae,genus
Ruizterania retusa,plants,Ruizterania retusa,Ruizterania,Vochysiaceae,species
Minquartia,plants,,Minquartia,Coulaceae,genus
Sloanea floribunda,plants,Sloanea floribunda,Sloanea,Elaeocarpaceae,species
Leucobryum albidum,plants,Leucobryum albidum,Leucobryum,Leucobryaceae,species
Octoblepharum,plants,,Octoblepharum,Octoblepharaceae,genus
Eriotheca macrophylla,plants,Eriotheca macrophylla,Eriotheca,Malvaceae,species
Petiveria,plants,,Petiveria,Phytolaccaceae,genus
Tabernaemontana undulata,plants,Tabernaemontana undulata,Tabernaemontana,Apocynaceae,species
Dioclea virgata,plants,Dioclea virgata,Dioclea,Fabaceae,species
Protium robustum,plants,Protium robustum,Protium,Burseraceae,species
Adiantum paraense,plants,Adiantum paraense,Adiantum,Pteridaceae,species
Swartzia auriculata,plants,Swartzia auriculata,Swartzia,Fabaceae,species
Cydista aequinoctialis,plants,Cydista aequinoctialis,Cydista,Bignoniaceae,species
Cyatheaceae,plants,,,Cyatheaceae,family
Simaba polyphylla,plants,Simaba polyphylla,Simaba,Simaroubaceae,species
Tetracera rotundifolia,plants,Tetracera rotundifolia,Tetracera,Dilleniaceae,species
Didymopanax,plants,,Didymopanax,Araliaceae,genus
Pachira humilis,plants,Pachira humilis,Pachira,Malvaceae,species
Emmotum orbiculatum,plants,Emmotum orbiculatum,Emmotum,Metteniusaceae,species
Bothriospora corymbosa,plants,Bothriospora corymbosa,Bothriospora,Rubiaceae,species
Anaxagorea,plants,,Anaxagorea,Annonaceae,genus
Solanum fulvidum,plants,Solanum fulvidum,Solanum,Solanaceae,species
Pistia stratiotes,plants,Pistia stratiotes,Pistia,Araceae,species
Chrysophyllum gonocarpum,plants,Chrysophyllum gonocarpum,Chrysophyllum,Sapotaceae,species
Pachira faroensis,plants,Pachira faroensis,Pachira,Malvaceae,species
Tetragastris,plants,,Tetragastris,Burseraceae,genus
Sipanea,plants,,Sipanea,Rubiaceae,genus
Ambelania acida,plants,Ambelania acida,Ambelania,Apocynaceae,species
Cuphea calophylla var calophylla,plants,Cuphea calophylla var calophylla,Cuphea,Lythraceae,species
Ochrobryum subulatum,plants,Ochrobryum subulatum,Ochrobryum,Leucobryaceae,species
Duguetia quitarensis,plants,Duguetia quitarensis,Duguetia,Annonaceae,species
Aparisthmium,plants,,Aparisthmium,Euphorbiaceae,genus
Strychnos mattogrossensis,plants,Strychnos mattogrossensis,Strychnos,Loganiaceae,species
Protium altissimum,plants,Protium altissimum,Protium,Burseraceae,species
Myrcia grandis,plants,Myrcia grandis,Myrcia,Myrtaceae,species
Dicorynia,plants,,Dicorynia,Fabaceae,genus
Meiothecium revolubile,plants,Meiothecium revolubile,Meiothecium,Sematophyllaceae,species
Citharexylum,plants,,Citharexylum,Verbenaceae,genus
Neea divaricata,plants,Neea divaricata,Neea,Nyctaginaceae,species
Ceratolejeunea cornuta,plants,Ceratolejeunea cornuta,Ceratolejeunea,Lejeuneaceae,species
Nealchornea,plants,,Nealchornea,Euphorbiaceae,genus
Dibrachiella parviflora,plants,Dibrachiella parviflora,Dibrachiella,Lejeuneaceae,species
Polygala longicaulis,plants,Polygala longicaulis,Polygala,Polygalaceae,species
Tapirira,plants,,Tapirira,Anacardiaceae,genus
Lejeunea cerina,plants,Lejeunea cerina,Lejeunea,Lejeuneaceae,species
Heteropsis flexuosa,plants,Heteropsis flexuosa,Heteropsis,Araceae,species
Palicourea,plants,,Palicourea,Rubiaceae,genus
Brunfelsia grandiflora,plants,Brunfelsia grandiflora,Brunfelsia,Solanaceae,species
Commelina rufipes,plants,Commelina rufipes,Commelina,Commelinaceae,species
Tachigali alba,plants,Tachigali alba,Tachigali,Fabaceae,species
Ectropothecium,plants,,Ectropothecium,Hypnaceae,genus
Guarea purusana,plants,Guarea purusana,Guarea,Meliaceae,species
Pausandra,plants,,Pausandra,Euphorbiaceae,genus
Secondatia,plants,,Secondatia,Apocynaceae,genus
Utricularia triloba,plants,Utricularia triloba,Utricularia,Lentibulariaceae,species
Virola elongata,plants,Virola elongata,Virola,Myristicaceae,species
Pouteria cuspidata,plants,Pouteria cuspidata,Pouteria,Sapotaceae,species
Annona muricata,plants,Annona muricata,Annona,Annonaceae,species
Syrrhopodon rigidus,plants,Syrrhopodon rigidus,Syrrhopodon,Calymperaceae,species
Psychotria magnifica,plants,Psychotria magnifica,Psychotria,Rubiaceae,species
Chimarrhis,plants,,Chimarrhis,Rubiaceae,genus
Quiina,plants,,Quiina,Quiinaceae,genus
Primulaceae,plants,,,Primulaceae,family
Eschweilera gigantea,plants,Eschweilera gigantea,Eschweilera,Lecythidaceae,species
Meliaceae,plants,,,Meliaceae,family
Eugenia caducipetala,plants,Eugenia caducipetala,Eugenia,Myrtaceae,species
Annona tenuiflora,plants,Annona tenuiflora,Annona,Annonaceae,species
Tachigali paniculata,plants,Tachigali paniculata,Tachigali,Fabaceae,species
Philodendron barrosoanum,plants,Philodendron barrosoanum,Philodendron,Araceae,species
Dictyostega,plants,,Dictyostega,Burmanniaceae,genus
Hirtella ulei,plants,Hirtella ulei,Hirtella,Chrysobalanaceae,species
Schlegeliaceae,plants,,,Schlegeliaceae,family
Sematophyllum adnatum,plants,Sematophyllum adnatum,Sematophyllum,Sematophyllaceae,species
Aspidosperma,plants,,Aspidosperma,Apocynaceae,genus
Plukenetia loretensis,plants,Plukenetia loretensis,Plukenetia,Euphorbiaceae,species
Mouriri,plants,,Mouriri,Melastomataceae,genus
Pentaclethra,plants,,Pentaclethra,Fabaceae,genus
Elaeoluma glabrescens,plants,Elaeoluma glabrescens,Elaeoluma,Sapotaceae,species
Aniba rosaeodora,plants,Aniba rosaeodora,Aniba,Lauraceae,species
Coutarea,plants,,Coutarea,Rubiaceae,genus
Exellodendron,plants,,Exellodendron,Chrysobalanaceae,genus
Bertiera guianensis,plants,Bertiera guianensis,Bertiera,Rubiaceae,species
Buchnera,plants,,Buchnera,Orobanchaceae,genus
Iridaceae,plants,,,Iridaceae,family
Dacryodes,plants,,Dacryodes,Burseraceae,genus
Ecclinusa ramiflora,plants,Ecclinusa ramiflora,Ecclinusa,Sapotaceae,species
Picrolemma,plants,,Picrolemma,Simaroubaceae,genus
Coccoloba parimensis,plants,Coccoloba parimensis,Coccoloba,Polygonaceae,species
Ludovia,plants,,Ludovia,Cyclanthaceae,genus
Piper bartlingianum,plants,Piper bartlingianum,Piper,Piperaceae,species
Calycophyllum,plants,,Calycophyllum,Rubiaceae,genus
Psittacanthus corynocephalus,plants,Psittacanthus corynocephalus,Psittacanthus,Loranthaceae,species
Muntingia calabura,plants,Muntingia calabura,Muntingia,Muntingiaceae,species
Macfadyena,plants,,Macfadyena,Bignoniaceae,genus
Capsicum,plants,,Capsicum,Solanaceae,genus
Caryocar microcarpum,plants,Caryocar microcarpum,Caryocar,Caryocaraceae,species
Selaginella epirrhizos,plants,Selaginella epirrhizos,Selaginella,Selaginellaceae,species
Anacardiaceae,plants,,,Anacardiaceae,family
Zingiberaceae,plants,,,Zingiberaceae,family
Capparaceae,plants,,,Capparaceae,family
Passiflora amalocarpa,plants,Passiflora amalocarpa,Passiflora,Passifloraceae,species
Aniseia martinicensis,plants,Aniseia martinicensis,Aniseia,Convolvulaceae,species
Combretum pyramidatum,plants,Combretum pyramidatum,Combretum,Combretaceae,species
Pourouma melinonii,plants,Pourouma melinonii,Pourouma,Urticaceae,species
Monotagma vaginatum,plants,Monotagma vaginatum,Monotagma,Marantaceae,species
Oryza,plants,,Oryza,Poaceae,genus
Didymochlaenaceae,plants,,,Didymochlaenaceae,family
Oplismenus hirtellus,plants,Oplismenus hirtellus,Oplismenus,Poaceae,species
Codonanthopsis calcarata,plants,Codonanthopsis calcarata,Codonanthopsis,Gesneriaceae,species
Protium tenuifolium,plants,Protium tenuifolium,Protium,Burseraceae,species
Ischnosiphon obliquus,plants,Ischnosiphon obliquus,Ischnosiphon,Marantaceae,species
Gustavia augusta,plants,Gustavia augusta,Gustavia,Lecythidaceae,species
Carpotroche longifolia,plants,Carpotroche longifolia,Carpotroche,Achariaceae,species
Chomelia tenuiflora,plants,Chomelia tenuiflora,Chomelia,Rubiaceae,species
Leptobalanus sprucei,plants,Leptobalanus sprucei,Leptobalanus,Chrysobalanaceae,species
Olfersia,plants,,Olfersia,Dryopteridaceae,genus
Rosenbergiodendron longiflorum,plants,Rosenbergiodendron longiflorum,Rosenbergiodendron,Rubiaceae,species
Gurania subumbellata,plants,Gurania subumbellata,Gurania,Cucurbitaceae,species
Connarus fasciculatus,plants,Connarus fasciculatus,Connarus,Connaraceae,species
Virola mollissima,plants,Virola mollissima,Virola,Myristicaceae,species
Stizophyllum,plants,,Stizophyllum,Bignoniaceae,genus
Pterocarpus officinalis,plants,Pterocarpus officinalis,Pterocarpus,Fabaceae,species
Hymenaea courbaril,plants,Hymenaea courbaril,Hymenaea,Fabaceae,species
Cyclolejeunea peruviana,plants,Cyclolejeunea peruviana,Cyclolejeunea,Lejeuneaceae,species
Commelina clavata,plants,Commelina clavata,Commelina,Commelinaceae,species
Anaxagorea dolichocarpa,plants,Anaxagorea dolichocarpa,Anaxagorea,Annonaceae,species
Capsicum frutescens,plants,Capsicum frutescens,Capsicum,Solanaceae,species
Norantea guianensis,plants,Norantea guianensis,Norantea,Marcgraviaceae,species
Maquira,plants,,Maquira,Moraceae,genus
Pityrogramma,plants,,Pityrogramma,Pteridaceae,genus
Ouratea ferruginea,plants,Ouratea ferruginea,Ouratea,Ochnaceae,species
Eumachia podocephala,plants,Eumachia podocephala,Eumachia,Rubiaceae,species
Lacistema pubescens,plants,Lacistema pubescens,Lacistema,Lacistemataceae,species
Montrichardia,plants,,Montrichardia,Araceae,genus
Ronabea latifolia,plants,Ronabea latifolia,Ronabea,Rubiaceae,species
Licania canescens,plants,Licania canescens,Licania,Chrysobalanaceae,species
Helosis,plants,,Helosis,Balanophoraceae,genus
Miconia secunmacdanielii,plants,Miconia secunmacdanielii,Miconia,Melastomataceae,species
Erythropalaceae,plants,,,Erythropalaceae,family
Hirtella obidensis,plants,Hirtella obidensis,Hirtella,Chrysobalanaceae,species
Croton palanostigma,plants,Croton palanostigma,Croton,Euphorbiaceae,species
Guarea pubescens,plants,Guarea pubescens,Guarea,Meliaceae,species
Neckeraceae,plants,,,Neckeraceae,family
Onagraceae,plants,,,Onagraceae,family
Imperata brasiliensis,plants,Imperata brasiliensis,Imperata,Poaceae,species
Lundia,plants,,Lundia,Bignoniaceae,genus
Combretum paraguariense,plants,Combretum paraguariense,Combretum,Combretaceae,species
Crescentia,plants,,Crescentia,Bignoniaceae,genus
Arrabidaea patellifera,plants,Arrabidaea patellifera,Arrabidaea,Bignoniaceae,species
Cyperus odoratus,plants,Cyperus odoratus,Cyperus,Cyperaceae,species
Virola,plants,,Virola,Myristicaceae,genus
Sobralia,plants,,Sobralia,Orchidaceae,genus
Trymatococcus,plants,,Trymatococcus,Moraceae,genus
Ischnosiphon arouma,plants,Ischnosiphon arouma,Ischnosiphon,Marantaceae,species
Senna quinquangulata,plants,Senna quinquangulata,Senna,Fabaceae,species
Cyperus appendiculatus var appendiculatus,plants,Cyperus appendiculatus var appendiculatus,Cyperus,Cyperaceae,species
Odontoschisma,plants,,Odontoschisma,Cephaloziaceae,genus
Pseudobombax munguba,plants,Pseudobombax munguba,Pseudobombax,Malvaceae,species
Parinariopsis,plants,,Parinariopsis,Chrysobalanaceae,genus
Chaetocarpus,plants,,Chaetocarpus,Peraceae,genus
Odontadenia semidigyna,plants,Odontadenia semidigyna,Odontadenia,Apocynaceae,species
Moutabea guianensis,plants,Moutabea guianensis,Moutabea,Polygalaceae,species
Geissospermum,plants,,Geissospermum,Apocynaceae,genus
Sloanea guianensis,plants,Sloanea guianensis,Sloanea,Elaeocarpaceae,species
Coussapoa,plants,,Coussapoa,Urticaceae,genus
Lepidoziaceae,plants,,,Lepidoziaceae,family
Theobroma sylvestre,plants,Theobroma sylvestre,Theobroma,Malvaceae,species
Nectandra cuspidata,plants,Nectandra cuspidata,Nectandra,Lauraceae,species
Dimorphandra,plants,,Dimorphandra,Fabaceae,genus
Heliconia subulata,plants,Heliconia subulata,Heliconia,Heliconiaceae,species
Xyris cyperoides,plants,Xyris cyperoides,Xyris,Xyridaceae,species
Lindsaea stricta,plants,Lindsaea stricta,Lindsaea,Lindsaeaceae,species
Peltogyne venosa,plants,Peltogyne venosa,Peltogyne,Fabaceae,species
Trichilia rubra,plants,Trichilia rubra,Trichilia,Meliaceae,species
Coussarea,plants,,Coussarea,Rubiaceae,genus
Helicostylis,plants,,Helicostylis,Moraceae,genus
Ilex glabra,plants,Ilex glabra,Ilex,Aquifoliaceae,species
Protium amazonicum,plants,Protium amazonicum,Protium,Burseraceae,species
Miconia ciliata,plants,Miconia ciliata,Miconia,Melastomataceae,species
Sorocea muriculata,plants,Sorocea muriculata,Sorocea,Moraceae,species
Sloanea guianensis subsp purdiei,plants,Sloanea guianensis subsp purdiei,Sloanea,Elaeocarpaceae,species
Pterogastra divaricata,plants,Pterogastra divaricata,Pterogastra,Melastomataceae,species
Evodianthus funifer,plants,Evodianthus funifer,Evodianthus,Cyclanthaceae,species
Duroia hirsuta,plants,Duroia hirsuta,Duroia,Rubiaceae,species
Doliocarpus amazonicus,plants,Doliocarpus amazonicus,Doliocarpus,Dilleniaceae,species
Pseudoconnarus,plants,,Pseudoconnarus,Connaraceae,genus
Tabernaemontana siphilitica,plants,Tabernaemontana siphilitica,Tabernaemontana,Apocynaceae,species
Endlicheria sprucei,plants,Endlicheria sprucei,Endlicheria,Lauraceae,species
Cecropia obtusifolia,plants,Cecropia obtusifolia,Cecropia,Urticaceae,species
Lagenocarpus glomerulatus,plants,Lagenocarpus glomerulatus,Lagenocarpus,Cyperaceae,species
Swartzia arborescens,plants,Swartzia arborescens,Swartzia,Fabaceae,species
Andira parviflora,plants,Andira parviflora,Andira,Fabaceae,species
Phyllanthus caroliniensis,plants,Phyllanthus caroliniensis,Phyllanthus,Phyllanthaceae,species
Centropogon cornutus,plants,Centropogon cornutus,Centropogon,Campanulaceae,species
Neckeropsis,plants,,Neckeropsis,Neckeraceae,genus
Ceratophyllum demersum,plants,Ceratophyllum demersum,Ceratophyllum,Ceratophyllaceae,species
Fridericia,plants,,Fridericia,Bignoniaceae,genus
Carapa,plants,,Carapa,Meliaceae,genus
Hemidiodia ocymifolia,plants,Hemidiodia ocymifolia,Hemidiodia,Rubiaceae,species
Loreya,plants,,Loreya,Melastomataceae,genus
Dichapetalaceae,plants,,,Dichapetalaceae,family
Dibrachiella,plants,,Dibrachiella,Lejeuneaceae,genus
Morisonia,plants,,Morisonia,Capparaceae,genus
Hippobroma longiflora,plants,Hippobroma longiflora,Hippobroma,Campanulaceae,species
Aspidosperma excelsum,plants,Aspidosperma excelsum,Aspidosperma,Apocynaceae,species
Trichomanes vittaria,plants,Trichomanes vittaria,Trichomanes,Hymenophyllaceae,species
Malouetia amazonica,plants,Malouetia amazonica,Malouetia,Apocynaceae,species
Fissidens pellucidus,plants,Fissidens pellucidus,Fissidens,Fissidentaceae,species
Marsilea minuta,plants,Marsilea minuta,Marsilea,Marsileaceae,species
Bactris tomentosa var tomentosa,plants,Bactris tomentosa var tomentosa,Bactris,Arecaceae,species
Uncaria guianensis,plants,Uncaria guianensis,Uncaria,Rubiaceae,species
Eschweilera albiflora,plants,Eschweilera albiflora,Eschweilera,Lecythidaceae,species
Hirtella triandra subsp triandra,plants,Hirtella triandra subsp triandra,Hirtella,Chrysobalanaceae,species
Trichilia septentrionalis,plants,Trichilia septentrionalis,Trichilia,Meliaceae,species
Rhigospira,plants,,Rhigospira,Apocynaceae,genus
Dendropanax arboreus,plants,Dendropanax arboreus,Dendropanax,Araliaceae,species
Radulaceae,plants,,,Radulaceae,family
Schnella guianensis,plants,Schnella guianensis,Schnella,Fabaceae,species
Mouriri guianensis,plants,Mouriri guianensis,Mouriri,Melastomataceae,species
Clidemia,plants,,Clidemia,Melastomataceae,genus
Croton krukoffianus,plants,Croton krukoffianus,Croton,Euphorbiaceae,species
Hymenopus latifolius,plants,Hymenopus latifolius,Hymenopus,Chrysobalanaceae,species
Cymbosema,plants,,Cymbosema,Fabaceae,genus
Psychotria longicuspis,plants,Psychotria longicuspis,Psychotria,Rubiaceae,species
Piper peltatum,plants,Piper peltatum,Piper,Piperaceae,species
Bursera simaruba,plants,Bursera simaruba,Bursera,Burseraceae,species
Henriettea caudata,plants,Henriettea caudata,Henriettea,Melastomataceae,species
Spermacoce hyssopifolia,plants,Spermacoce hyssopifolia,Spermacoce,Rubiaceae,species
Ladenbergia lambertiana,plants,Ladenbergia lambertiana,Ladenbergia,Rubiaceae,species
Miconia poeppigii,plants,Miconia poeppigii,Miconia,Melastomataceae,species
Corythophora rimosa,plants,Corythophora rimosa,Corythophora,Lecythidaceae,species
Humiria balsamifera,plants,Humiria balsamifera,Humiria,Humiriaceae,species
Virola theiodora,plants,Virola theiodora,Virola,Myristicaceae,species
Matayba stenodictya,plants,Matayba stenodictya,Matayba,Sapindaceae,species
Anthurium pentaphyllum,plants,Anthurium pentaphyllum,Anthurium,Araceae,species
Virola sebifera,plants,Virola sebifera,Virola,Myristicaceae,species
Paspalum melanospermum,plants,Paspalum melanospermum,Paspalum,Poaceae,species
Protium heptaphyllum,plants,Protium heptaphyllum,Protium,Burseraceae,species
Ocotea myriantha,plants,Ocotea myriantha,Ocotea,Lauraceae,species
Hebeclinium macrophyllum,plants,Hebeclinium macrophyllum,Hebeclinium,Asteraceae,species
Syrrhopodon,plants,,Syrrhopodon,Calymperaceae,genus
Geonoma aspidiifolia subsp fusca,plants,Geonoma aspidiifolia subsp fusca,Geonoma,Arecaceae,species
Renealmia,plants,,Renealmia,Zingiberaceae,genus
Diploon,plants,,Diploon,Sapotaceae,genus
Ficus hebetifolia,plants,Ficus hebetifolia,Ficus,Moraceae,species
Goupia glabra,plants,Goupia glabra,Goupia,Goupiaceae,species
Eugenia patrisii,plants,Eugenia patrisii,Eugenia,Myrtaceae,species
Stictolejeunea squamata,plants,Stictolejeunea squamata,Stictolejeunea,Lejeuneaceae,species
Neea hermaphrodita,plants,Neea hermaphrodita,Neea,Nyctaginaceae,species
Loranthaceae,plants,,,Loranthaceae,family
Couma utilis,plants,Couma utilis,Couma,Apocynaceae,species
Garcinia nervosa var nervosa,plants,Garcinia nervosa var nervosa,Garcinia,Clusiaceae,species
Homolepis aturensis,plants,Homolepis aturensis,Homolepis,Poaceae,species
Miconia biglandulosa,plants,Miconia biglandulosa,Miconia,Melastomataceae,species
Anomospermum reticulatum,plants,Anomospermum reticulatum,Anomospermum,Menispermaceae,species
Calliandra surinamensis,plants,Calliandra surinamensis,Calliandra,Fabaceae,species
Solanum jamaicense,plants,Solanum jamaicense,Solanum,Solanaceae,species
Cordia scabrifolia,plants,Cordia scabrifolia,Cordia,Cordiaceae,species
Cyperus,plants,,Cyperus,Cyperaceae,genus
Adiscanthus,plants,,Adiscanthus,Rutaceae,genus
Heliocarpus,plants,,Heliocarpus,Malvaceae,genus
Schlegelia,plants,,Schlegelia,Schlegeliaceae,genus
Adiantum pulverulentum,plants,Adiantum pulverulentum,Adiantum,Pteridaceae,species
Tachia occidentalis,plants,Tachia occidentalis,Tachia,Gentianaceae,species
Dieffenbachia parvifolia,plants,Dieffenbachia parvifolia,Dieffenbachia,Araceae,species
Codonanthopsis,plants,,Codonanthopsis,Gesneriaceae,genus
Ipomoea squamosa,plants,Ipomoea squamosa,Ipomoea,Convolvulaceae,species
Macromitrium,plants,,Macromitrium,Orthotrichaceae,genus
Strychnos mitscherlichii,plants,Strychnos mitscherlichii,Strychnos,Loganiaceae,species
Touroulia guianensis,plants,Touroulia guianensis,Touroulia,Quiinaceae,species
Selaginella flagellata,plants,Selaginella flagellata,Selaginella,Selaginellaceae,species
Combretum fruticosum,plants,Combretum fruticosum,Combretum,Combretaceae,species
Virola duckei,plants,Virola duckei,Virola,Myristicaceae,species
Ischnosiphon cannoideus,plants,Ischnosiphon cannoideus,Ischnosiphon,Marantaceae,species
Moraceae,plants,,,Moraceae,family
Mabea speciosa,plants,Mabea speciosa,Mabea,Euphorbiaceae,species
Lepidopilum polytrichoides,plants,Lepidopilum polytrichoides,Lepidopilum,Pilotrichaceae,species
Sphagnum ripense,plants,Sphagnum ripense,Sphagnum,Sphagnaceae,species
Anthurium clavigerum,plants,Anthurium clavigerum,Anthurium,Araceae,species
Evodianthus,plants,,Evodianthus,Cyclanthaceae,genus
Aciotis polystachya,plants,Aciotis polystachya,Aciotis,Melastomataceae,species
Paspalum pilosum,plants,Paspalum pilosum,Paspalum,Poaceae,species
Manihot peruviana,plants,Manihot peruviana,Manihot,Euphorbiaceae,species
Mahurea,plants,,Mahurea,Calophyllaceae,genus
Genlisea,plants,,Genlisea,Lentibulariaceae,genus
