name,taxa,scientificname,genus,family,taxonomic_level
Ficus pertusa,plants,Ficus pertusa,Ficus,Moraceae,species
Graffenrieda,plants,,Graffenrieda,Melastomataceae,genus
Lomariopsidaceae,plants,,,Lomariopsidaceae,family
Metrodorea,plants,,Metrodorea,Rutaceae,genus
Mouriri sagotiana,plants,Mouriri sagotiana,Mouriri,Melastomataceae,species
Goupiaceae,plants,,,Goupiaceae,family
Protium pilosissimum,plants,Protium pilosissimum,Protium,Burseraceae,species
Caraipa punctulata,plants,Caraipa punctulata,Caraipa,Calophyllaceae,species
Dalbergia,plants,,Dalbergia,Fabaceae,genus
Casearia,plants,,Casearia,Salicaceae,genus
Radula flaccida,plants,Radula flaccida,Radula,Radulaceae,species
Staurogyne,plants,,Staurogyne,Acanthaceae,genus
Protium nitidifolium,plants,Protium nitidifolium,Protium,Burseraceae,species
Pleopeltis bombycina,plants,Pleopeltis bombycina,Pleopeltis,Polypodiaceae,species
Symphonia,plants,,Symphonia,Clusiaceae,genus
Licania davillifolia,plants,Licania davillifolia,Licania,Chrysobalanaceae,species
Ethulia,plants,,Ethulia,Asteraceae,genus
Selaginella asperula,plants,Selaginella asperula,Selaginella,Selaginellaceae,species
Cymbosema roseum,plants,Cymbosema roseum,Cymbosema,Fabaceae,species
Lophanthera longifolia,plants,Lophanthera longifolia,Lophanthera,Malpighiaceae,species
Tovomita calophyllophylla,plants,Tovomita calophyllophylla,Tovomita,Clusiaceae,species
Clusia octandra,plants,Clusia octandra,Clusia,Clusiaceae,species
Piper marginatum,plants,Piper marginatum,Piper,Piperaceae,species
Miconia punctata,plants,Miconia punctata,Miconia,Melastomataceae,species
Callicostella depressa,plants,Callicostella depressa,Callicostella,Pilotrichaceae,species
Inga capitata,plants,Inga capitata,Inga,Fabaceae,species
Heliconia schiedeana,plants,Heliconia schiedeana,Heliconia,Heliconiaceae,species
Pseudolmedia,plants,,Pseudolmedia,Moraceae,genus
Solanum distichophyllum,plants,Solanum distichophyllum,Solanum,Solanaceae,species
Xyris jupicai,plants,Xyris jupicai,Xyris,Xyridaceae,species
Abuta sandwithiana,plants,Abuta sandwithiana,Abuta,Menispermaceae,species
Tabebuia insignis,plants,Tabebuia insignis,Tabebuia,Bignoniaceae,species
Urticaceae,plants,,,Urticaceae,family
Diclinanona,plants,,Diclinanona,Annonaceae,genus
Lejeunea boryana,plants,Lejeunea boryana,Lejeunea,Lejeuneaceae,species
Kutchubaea semisericea,plants,Kutchubaea semisericea,Kutchubaea,Rubiaceae,species
Duckea,plants,,Duckea,Rapateaceae,genus
Rapatea paludosa,plants,Rapatea paludosa,Rapatea,Rapateaceae,species
Bolbitis,plants,,Bolbitis,Dryopteridaceae,genus
Licaria canella,plants,Licaria canella,Licaria,Lauraceae,species
Epidendrum compressum,plants,Epidendrum compressum,Epidendrum,Orchidaceae,species
Heteropsis spruceana,plants,Heteropsis spruceana,Heteropsis,Araceae,species
Picramnia,plants,,Picramnia,Picramniaceae,genus
Macrolobium bifolium,plants,Macrolobium bifolium,Macrolobium,Fabaceae,species
Burdachia sphaerocarpa,plants,Burdachia sphaerocarpa,Burdachia,Malpighiaceae,species
Diospyros inconstans,plants,Diospyros inconstans,Diospyros,Ebenaceae,species
Combretum laxum,plants,Combretum laxum,Combretum,Combretaceae,species
Terminalia pallidovirens,plants,Terminalia pallidovirens,Terminalia,Combretaceae,species
Taxithelium pluripunctatum,plants,Taxithelium pluripunctatum,Taxithelium,Pylaisiadelphaceae,species
Telitoxicum rodriguesii,plants,Telitoxicum rodriguesii,Telitoxicum,Menispermaceae,species
Platypodium elegans,plants,Platypodium elegans,Platypodium,Fabaceae,species
